,,,,,,,
Целью данного проекта было составление баг-репорта на тестовый стенд https://test-stand.gb.ru/seminar_stands/umeet/index.html,,,,,,,
,,,,,,,
,,,,,,,
"Блок ""Хедер""",,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
19,"Язык кнопки ""Купить билеты"" не соответствует языку сайта",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""","Просмотр кнопки ""Купить билеты""","Язык кнопки ""Купить билеты"" соответствует языку сайта ","Язык кнопки отличается от языка сайта, указана надпись ""Buy ticket""",
,,,,,,,
,,,,,,,
,Критичность,Незначительная,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
20,"Кнопка ""Купить билеты"" не ведет на отдельную страницу покупки билетов",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""","Выполнить клик на кнопку ""Купить билеты""","Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов.","Кнопка ""Купить билеты"" ведет на хедер сайта",нет возможности добавить сюда видео
,,,,,,,
,,,,,,,
,Критичность,Критическая,,,,,
,,,,,,,
,Приоритет,Высокий ,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
Блок с каруселью партнеров,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
21,"Отображаются не все логотипы партнеров в карусели, есть поля без изображения",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока с каруселью партнеров",Проверить наличие карточек с логотипами партнеров в карусели,Наличие карточек с логотипами партнеров в карусели,"Отображаются не все логотипы партнеров в карусели, есть поля без изображения",
,,,,,,,
,,,,,,,
,Критичность,Значительная ,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Блок ""Галерея""",,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
22,"В блоке отсутствует заголовок ""Галерея""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Галерея""","Проверить наличие заголовка ""Галерея""","Наличие заголовка ""Галерея""","В блоке отсутствует заголовок ""Галерея""",
,,,,,,,
,,,,,,,
,Критичность,Значительная ,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
23,"Некоторые изображения отсутствуют на странице, но видны при нажатии на любое изображение в блоке",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Галерея""",Выбрать любое изображение на странице для просмотра.,"В блоке ""Галерея"" представлена фотогалерея с изображениями с предыдущих конференций. Для просмотра изображения необходимо кликнуть на него.","Некоторые изображения отсутсвуют на странице, но видны при нажатии на любое изображение в блоке, а затем при нажатии на слайдер.",
,,,,Кликнуть на него для просмотра.,,,
,,,,,,,
,Критичность,Значительная ,,,,,
,,,,,,,
