,,,,,
Целью данного проекта было составление тест-кейсов на тестовый стенд https://test-stand.gb.ru/seminar_stands/umeet/index.html,,,,,
,,,,,
"Блок ""Хедер""",,,,,
40,Расположение блока с датой доклада справа от фотографии,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Выбрать таб с датой.
2. Кликом мыши осуществить переход по табу.
3. Блок с датой доклада находится справа от фотографии",Справа от фотографии находится блок с датой 
№,Название,,Предусловие,Шаги,Ожидаемый результат
41,Наличие блока с описанием доклада,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Выбрать таб с датой.
2. Кликом мыши осуществить переход по табу.
3. Проверить наличие блока с описанием доклада ",Справа от фотографии находится блок с описанием доклада.
№,Название,,Предусловие,Шаги,Ожидаемый результат
42,Расположение блока с описанием доклада справа от фотографии,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Выбрать таб с датой.
2. Кликом мыши осуществить переход по табу.
3. Проверить расположение блока с описанием доклада",Расположение блока с описанием доклада справа от фотографии	
"Блок ""Стоимость участия""",,,,,
43,"Наличие заголовка ""Стоимость участия""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""","Проверить наличие заголовка ""Стоимость участия""","В блоке находится заголовок ""Стоимость участия"""
№,Название,,Предусловие,Шаги,Ожидаемый результат
44,"Наличие блока из трех цен: Normal, Advanced, Ultimate",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""","Проверить наличие трех цен в блоке: Normal, Advanced, Ultimate","В блоке есть три цены: Normal, Advanced, Ultimate	"
№,Название,,Предусловие,Шаги,Ожидаемый результат
45,Наличие описания в каждой из карточек,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""","1. Выбрать любую карточку цены.
2. Проверить описание в карточке.",В каждой из карточек указано описание
№,Название,,Предусловие,Шаги,Ожидаемый результат
46,Наличие цены в каждой из карточек,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""","1. Выбрать любую карточку цены.
2. Проверить наличие указанной цены в карточке.",В каждой из карточек указана цена
№,Название,,Предусловие,Шаги,Ожидаемый результат
47,Центральная карточка в блоке - Ultimate,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""",Проверить отображение центральной карточки в блоке - Ultimate,Центральная карточка в блоке - Ultimate	
№,Название,,Предусловие,Шаги,Ожидаемый результат
48,"Наличие кнопки ""Купить билеты""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""","Проверить наличие кнопки ""Купить билеты""","Наличие кнопки ""Купить билеты""	"
№,Название,,Предусловие,Шаги,Ожидаемый результат
49,"Кнопка ""Купить билеты"" располагается в центре",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""","Проверить расположение в центре кнопки ""Купить билеты"" ","Кнопка ""Купить билеты"" располагается в центре"
№,Название,,Предусловие,Шаги,Ожидаемый результат
50,"Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""","Выполнить клик на кнопку ""Купить билеты""","Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов	"
Блок с каруселью партнеров,,,,,
№,Название,,Предусловие,Шаги,Ожидаемый результат
51,Наличие блока с каруселью партнеров,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока с каруселью партнеров",Проверить наличие блока с каруселью партнеров        ,Наличие блока с каруселью партнеров	
№,Название,,Предусловие,Шаги,Ожидаемый результат
52,Наличие карточек с логотипами партнеров в карусели,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока с каруселью партнеров",Проверить наличие карточек с логотипами партнеров в карусели,Наличие карточек с логотипами партнеров в карусели
"Блок ""Галерея""",,,,,
№,Название,,Предусловие,Шаги,Ожидаемый результат
53,"Наличие блока ""Галерея"" ",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Галерея""","Проверить наличие блока ""Галерея"" ","Наличие блока ""Галерея"" 	"
№,Название,,Предусловие,Шаги,Ожидаемый результат
54,"Наличие заголовка ""Галерея""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Галерея""","Проверить наличие заголовка ""Галерея""","Наличие заголовка ""Галерея"""
№,Название,,Предусловие,Шаги,Ожидаемый результат
55,"В блоке ""Галерея"" представлена фотогалерея с изображениями с предыдущих конференций",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Галерея""","Просмотреть изображения в блоке ""Галерея""","В блоке ""Галерея"" представлена фотогалерея с изображениями с предыдущих конференций	"
"Блок ""Карта""",,,,,
56,Наличие карты с поинтером места проведения,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Карта""",Проверить наличие карты с поинтером места проведения	,В блоке отображена карта с поинтером места проведения	
№,Название,,Предусловие,Шаги,Ожидаемый результат
57,"Карта с поинтером места проведения располагается ниже блока ""Галерея""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Карта""",Проверить расположение карты с поинтером места проведения,"Карта с поинтером места проведения располагается ниже блока ""Галерея""	"
